State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
NM,New Mexico,6/1/20,Y,P,N,10769,,N/A,,10769,,11405,,1350,,12755,,337088,,772102,,43.4108,-71.5653,"(43.4108, -71.5653)",734272,,37830,
WA,Washington,6/1/20,Y,P,N,91670,,60349,,152019,,81361,,967,,82328,,831382,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1780968,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1711693,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),69275,
MI,Michigan,6/1/20,Y,P,N,32232,,N/A,,32232,,27639,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,833,,28472,,967030,Does Not Include All Full-Benefit Child Medicaid enrollees,2439425,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2380517,Does Not Include All Full-Benefit Medicaid enrollees,58908,
CA,California,6/1/20,Y,P,N,148524,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,148524,,169741,Does Not Include All Medicaid Determinations Made At Application,12978,Does Not Include All CHIP Determinations Made At Application,182719,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4845851,,11847711,,33.7712,-111.3877,"(33.7712, -111.3877)",10561031,,1286680,
LA,Louisiana,6/1/20,Y,P,N,23261,,N/A,,23261,,23316,,1435,,24751,,723094,,1585024,,37.669,-84.6514,"(37.669, -84.6514)",1452945,,132079,
AR,Arkansas,6/1/20,Y,P,N,16074,,N/A,,16074,,9959,,668,,10627,,377935,,830467,,34.9513,-92.3809,"(34.9513, -92.3809)",796259,,34208,
GA,Georgia,6/1/20,N,P,N,37742,,N/A,,37742,,17556,,994,,18550,,1343840,,1928703,,27.8333,-81.717,"(27.8333, -81.717)",1708464,,220239,
CT,Connecticut,6/1/20,Y,P,N,3336,,9161,,12497,,10684,,261,,10945,,337997,,874974,,39.0646,-105.3272,"(39.0646, -105.3272)",855252,,19722,
ND,North Dakota,6/1/20,Y,P,N,2115,,N/A,,2115,,1788,,51,,1839,,45832,,96757,,46.9048,-110.3261,"(46.9048, -110.3261)",94369,,2388,
CO,Colorado,6/1/20,Y,P,N,18724,,107,,18831,,15010,,224,,15234,,580715,,1337805,,36.17,-119.7462,"(36.17, -119.7462)",1259338,,78467,
VT,Vermont,6/1/20,Y,P,N,1286,,1069,,2355,Includes Renewals and/or Redeterminations,2244,Includes Renewals and/or Redeterminations,90,,2334,,62191,,161049,,31.106,-97.6475,"(31.106, -97.6475)",156768,,4281,
TN,Tennessee,6/1/20,N,P,N,26013,,N/A,,26013,,10846,,1481,,12327,,843434,,1489536,,41.6772,-71.5101,"(41.6772, -71.5101)",1365104,,124432,
ME,Maine,6/1/20,Y,P,N,,,N/A,,,,7890,,426,,8316,,107463,,232455,,39.0724,-76.7902,"(39.0724, -76.7902)",219992,,12463,
NC,North Carolina,6/1/20,N,P,N,22878,,N/A,,22878,,27895,,2453,,30348,,1216825,,1851558,,32.7673,-89.6812,"(32.7673, -89.6812)",1564085,,287473,
VA,Virginia,6/1/20,Y,P,N,20635,Includes Renewals and/or Redeterminations,N/A,,20635,Includes Renewals and/or Redeterminations,22545,Includes Renewals and/or Redeterminations,784,Includes Renewals and/or Redeterminations,23329,Includes Renewals and/or Redeterminations,779056,,1497770,,35.7449,-86.7489,"(35.7449, -86.7489)",1340244,,157526,
OK,Oklahoma,6/1/20,N,P,N,32790,Includes Renewals and/or Redeterminations,N/A,,32790,Includes Renewals and/or Redeterminations,89321,Includes Renewals and/or Redeterminations,19341,,108662,Includes Renewals and/or Redeterminations,549537,,797220,,42.1497,-74.9384,"(42.1497, -74.9384)",672238,,124982,
MN,Minnesota,6/1/20,Y,P,N,3303,,12356,,15659,,10547,,47,,10594,,544528,,1085778,,43.3504,-84.5603,"(43.3504, -84.5603)",1084069,,1709,
MO,Missouri,6/1/20,N,P,N,14596,Includes Renewals and/or Redeterminations,N/A,,14596,Includes Renewals and/or Redeterminations,7397,Includes Renewals and/or Redeterminations,449,Includes Renewals and/or Redeterminations,7846,Includes Renewals and/or Redeterminations,575557,,923641,,45.7326,-93.9196,"(45.7326, -93.9196)",882900,,40741,
RI,Rhode Island,6/1/20,Y,P,N,1080,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1080,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",1727,,100,,1827,,117808,,305208,,44.5672,-122.1269,"(44.5672, -122.1269)",275893,,29315,
