FIPS,Med_Child_Est,Med_Adult_Est,Med_Elderly_Est,Med_Demand
1001,6992,1788,583,9363
1003,22459,6600,2102,31161
1005,4997,1530,662,7189
1007,2430,1184,363,3977
1009,6033,2289,707,9029
1011,2354,529,197,3080
1013,3078,1152,424,4654
1015,17940,6026,1770,25736
1017,5295,1536,610,7441
1019,3350,1218,411,4979
1021,7124,1917,451,9492
1023,1999,789,329,3117
1025,4185,1842,410,6437
1027,2098,753,213,3064
1029,2136,704,287,3127
1031,7075,2002,891,9968
1033,6142,2167,935,9244
1035,1607,606,378,2591
1037,1318,510,225,2053
1039,4808,1391,632,6831
1041,1914,816,308,3038
1043,11428,3074,1242,15744
1045,7243,2649,804,10696
1047,9379,3189,892,13460
1049,13712,3124,1621,18457
1051,9006,2738,775,12519
1053,4506,1363,423,6292
1055,14594,5051,1891,21536
1057,2810,928,350,4088
1059,5227,1246,494,6967
1061,4700,1394,562,6656
1063,2025,753,268,3046
1065,3068,1172,355,4595
1067,2522,871,232,3625
1069,16568,5079,1485,23132
1071,7441,2567,1060,11068
1073,89556,28774,8668,126998
1075,2060,735,240,3035
1077,10845,3319,1336,15500
1079,4620,1651,491,6762
1081,17386,5366,1231,23983
1083,10559,3074,1103,14736
1085,2122,1001,228,3351
1087,3351,1248,507,5106
1089,36134,10007,3530,49671
1091,3230,1203,452,4885
1093,4166,1251,584,6001
1095,16597,3880,1228,21705
1097,68855,18765,5766,93386
1099,4109,1160,391,5660
1101,39395,11114,3382,53891
1103,16688,4416,1616,22720
1105,2132,831,287,3250
1107,2931,1002,642,4575
1109,4634,1627,551,6812
1111,3202,825,443,4470
1113,10480,3330,811,14621
1115,8836,2718,1023,12577
1117,15017,3639,1838,20494
1119,2623,898,442,3963
1121,13444,4875,1337,19656
1123,6759,2173,901,9833
1125,23042,8737,2317,34096
1127,9332,3195,1129,13656
1129,2549,1116,370,4035
1131,2755,935,333,4023
1133,3469,1182,692,5343
2013,328,337,58,723
2016,317,273,57,647
2020,34833,37662,8949,81444
2050,6633,6356,1103,14092
2060,114,91,22,227
2068,104,100,27,231
2070,1518,1431,270,3219
2090,8873,9900,1991,20764
2100,348,387,279,1014
2105,312,387,139,838
2110,3070,3743,828,7641
2122,7246,9335,2213,18794
2130,1797,2372,614,4783
2150,1710,1951,290,3951
2158,4140,3627,368,8135
2164,318,330,104,752
2170,14316,17216,3103,34635
2180,3125,2802,447,6374
2185,1370,944,266,2580
2188,2704,1852,511,5067
2195,340,693,195,1228
2198,1130,1212,295,2637
2220,668,644,215,1527
2230,72,77,7,156
2240,1165,1045,219,2429
2261,502,1105,430,2037
2275,317,407,115,839
2282,136,91,4,231
2290,1406,1254,387,3047
5001,2882,3065,598,6545
5003,2975,3607,972,7554
