FIPS,Labor_Force,Employed,Unemployed,Rate
48269,217,213,4,1.8
48301,670,665,5,0.7
31009,264,256,8,3
35021,274,265,9,3.3
31075,427,417,10,2.3
30069,258,247,11,4.3
48261,182,170,12,6.6
31103,600,587,13,2.2
31007,386,373,13,3.4
31117,450,436,14,3.1
31091,476,462,14,2.9
31005,236,222,14,5.9
30103,308,294,14,4.5
16033,389,375,14,3.6
48033,392,377,15,3.8
32009,465,450,15,3.2
49009,440,424,16,3.6
31115,417,401,16,3.8
20071,821,805,16,1.9
31183,579,562,17,2.9
38087,389,371,18,4.6
48393,386,367,19,4.9
38007,360,341,19,5.3
31085,638,619,19,3
30011,588,569,19,3.2
20199,1005,986,19,1.9
48443,347,327,20,5.8
48263,448,428,20,4.5
30033,660,640,20,3
31113,485,464,21,4.3
48345,435,413,22,5.1
48311,826,804,22,2.7
20025,1066,1044,22,2.1
31165,779,756,23,3
30037,361,338,23,6.4
48045,531,507,24,4.5
30019,822,798,24,2.9
20101,778,754,24,3.1
31171,443,418,25,5.6
31149,904,879,25,2.8
30051,890,865,25,2.8
20203,1403,1378,25,1.8
8053,441,416,25,5.7
48155,555,529,26,4.7
48101,489,463,26,5.3
28055,362,336,26,7.2
38051,1062,1035,27,2.5
20187,1017,990,27,2.7
38047,858,830,28,3.3
48359,844,815,29,3.4
46069,654,625,29,4.4
21201,792,763,29,3.7
49031,507,477,30,5.9
46075,563,533,30,5.3
38083,644,614,30,4.7
20083,1036,1006,30,2.9
20023,1340,1310,30,2.2
2282,235,205,30,12.8
38095,1065,1034,31,2.9
30109,447,416,31,6.9
20075,1625,1594,31,1.9
48433,532,500,32,6
46119,779,747,32,4.1
46055,1016,984,32,3.1
38037,1172,1140,32,2.7
35011,688,656,32,4.7
48173,733,700,33,4.5
38039,1004,971,33,3.3
38033,822,789,33,4
46021,760,726,34,4.5
38091,969,935,34,3.5
32011,1180,1146,34,2.9
30055,880,846,34,3.9
16025,720,686,34,4.7
8061,844,810,34,4
48447,589,554,35,5.9
31057,1211,1176,35,2.9
30075,924,889,35,3.8
30079,460,424,36,7.8
20129,1098,1062,36,3.3
20179,1449,1412,37,2.6
13265,557,520,37,6.6
49033,1424,1386,38,2.7
46063,706,668,38,5.4
31049,1012,974,38,3.8
40025,1318,1279,39,3
8017,1021,982,39,3.8
48011,867,827,40,4.6
38065,860,820,40,4.7
38001,1027,987,40,3.9
31071,1181,1141,40,3.4
41069,705,664,41,5.8
20033,914,873,41,4.5
48421,1274,1232,42,3.3
